iter	Logloss
0	0.6919581574
1	0.690888684
2	0.6895752322
3	0.6885080258
4	0.6874843363
5	0.6864725418
6	0.6859277567
7	0.6847973661
8	0.6837437098
9	0.6826412111
10	0.6815011284
11	0.6805594764
12	0.6796156225
13	0.6785937063
14	0.6775705326
15	0.6765973028
16	0.6755109783
17	0.6743875196
18	0.6732952006
19	0.6723830357
20	0.6714314952
21	0.6702728546
22	0.6699417831
23	0.6690087261
24	0.6682131175
25	0.6672627408
26	0.6662764705
27	0.6653305478
28	0.6644523111
29	0.6636972902
30	0.6628656222
31	0.6618087988
32	0.6610035956
33	0.6601417641
34	0.659181283
35	0.6584546749
36	0.6577326748
37	0.6569923699
38	0.6562472859
39	0.6554922326
40	0.6546582442
41	0.6539635444
42	0.6532842871
43	0.6525607984
44	0.6519269949
45	0.6511182028
46	0.6502609024
47	0.6494846516
48	0.6487144118
49	0.6483329053
